"ISSN","TITULO","ESTRATO","ISSN_temp","Print_ISSN","E_ISSN"
"2451-1935","ECONOMETRIC RESEARCH IN FINANCE","B4","24511935",NA,NA
"0747-4938","ECONOMETRIC REVIEWS","A1","7474938","7474938","15324168"
"0266-4666","ECONOMETRIC THEORY (PRINT)","A1","2664666","2664666","14694360"
"0012-9682","ECONOMETRICA (CHICAGO)","A1","129682","129682","14680262"
"1368-4221","ECONOMETRICS JOURNAL (PRINT)","A2","13684221","13684221",NA
"1517-7580","ECONOMIA","A3","15177580","15177580","23582820"
"1533-6239","ECONOMÍA","A2","15336239",NA,NA
"2317-627X","ECONOMIA & REGIÃO","B2","2317627X",NA,NA
"1529-7470","ECONOMÍA (WASHINGTON, D.C.)","A2","15297470",NA,NA
"1126-1668","ECONOMIA AGRO-ALIMENTARE","B4","11261668","11261668","19724802"
"1413-8050","ECONOMIA APLICADA (IMPRESSO)","A3","14138050","14138050",NA
"1517-9354","ECONOMIA E DESENVOLVIMENTO (RECIFE)","B3","15179354",NA,NA
"2595-833X","ECONOMIA E DESENVOLVIMENTO (SANTA MARIA, ONLINE)","B4","2595833X",NA,NA
"1414-6509","ECONOMIA E DESENVOLVIMENTO (SANTA MARIA. IMPRESSO)","B4","14146509",NA,NA
"1982-3533","ECONOMIA E SOCIEDADE (UNICAMP)","A3","19823533",NA,NA
"0102-2482","ECONOMIA ENSAIOS (UFU. IMPRESSO)","B1","1022482",NA,NA
"0390-6140","ECONOMIA PUBBLICA","B2","3906140",NA,NA
"1665-952X","ECONOMÍA UNAM","B1","1665952X",NA,NA
"0252-8584","ECONOMIA Y DESARROLLO","A2","2528584",NA,NA
"1405-8421","ECONOMÍA, SOCIEDAD Y TERRITORIO","B1","14058421",NA,NA
"2448-6183","ECONOMÍA, SOCIEDAD Y TERRITORIO","B1","24486183",NA,NA
"1022-4057","ECONOMIC ANALYSIS LAW REVIEW","B4","10224057",NA,NA
"2178-0587","ECONOMIC ANALYSIS OF LAW REVIEW","A2","21780587",NA,NA
"2083-3725","ECONOMIC AND REGIONAL STUDIES","A4","20833725",NA,NA
"2330-4847","ECONOMIC ANTHROPOLOGY","A2","23304847",NA,NA
"0013-0001","ECONOMIC BOTANY","A3","130001","130001","18749364"
"0013-0079","ECONOMIC DEVELOPMENT AND CULTURAL CHANGE","A1","130079","130079","15392988"
"0361-0128","ECONOMIC GEOLOGY AND THE BULLETIN OF THE SOCIETY OF ECONOMIC GEOLOGISTS","A1","3610128","3610128",NA
"0013-0117","ECONOMIC HISTORY REVIEW","A1","130117","130117","14680289"
"0095-2583","ECONOMIC INQUIRY","A1","952583","952583","14657295"
"0013-0133","ECONOMIC JOURNAL (LONDON. PRINT)","A1","130133","130133","14680297"
"0264-9993","ECONOMIC MODELLING","A1","2649993","2649993",NA
"0140-489X","ECONOMIC OUTLOOK (LONDON. 1977. PRINT)","B4","140489X",NA,NA
"0266-4658","ECONOMIC POLICY (PRINT)","A1","2664658","2664658","14680327"
"0939-3625","ECONOMIC SYSTEMS","A2","9393625","9393625",NA
"0953-5314","ECONOMIC SYSTEMS RESEARCH (PRINT)","A2","9535314","9535314","14695758"
"0938-2259","ECONOMIC THEORY","A1","9382259","9382259","14320479"
"1517-1302","ECONÔMICA (NITERÓI)","A4","15171302",NA,NA
"1570-677X","ECONOMICS AND HUMAN BIOLOGY","A1","1570677X","1570677X","18736130"
"1545-2921","ECONOMICS BULLETIN","A4","15452921","15452921",NA
"0165-1765","ECONOMICS LETTERS","A1","1651765","1651765",NA
"1043-8599","ECONOMICS OF INNOVATION AND NEW TECHNOLOGY","A2","10438599","10438599","14768364"
"1864-6042","ECONOMICS. JOURNAL ARTICLES","A4","18646042",NA,"18646042"
"1942-9347","ECOPSYCHOLOGY","A2","19429347","19429347",NA
"2316-3933","ECOS ONLINE","A2","23163933",NA,NA
"1195-6860","ÉCOSCIENCE (SAINTE-FOY)","B1","11956860","11956860",NA
"1697-2473","ECOSISTEMAS (MADRID. INTERNET)","B4","16972473",NA,"16972473"
"2007-901X","ECOSISTEMAS Y RECURSOS AGROPECUARIOS","B4","2007901X",NA,NA
"2150-8925","ECOSPHERE","A2","21508925",NA,"21508925"
"2096-4129","ECOSYSTEM HEALTH AND SUSTAINABILITY","B4","20964129","20964129","23328878"
"2212-0416","ECOSYSTEM SERVICES","A1","22120416","22120416",NA
"1432-9840","ECOSYSTEMS (NEW YORK. PRINT)","A1","14329840","14329840","14350629"
"0963-9292","ECOTOXICOLOGY (LONDON)","A2","9639292","9639292","15733017"
"0147-6513","ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY","A1","1476513","1476513","10902414"
"2162-8769","ECS JOURNAL OF SOLID STATE SCIENCE AND TECHNOLOGY","A3","21628769","21628769","21628777"
"1938-5862","ECS TRANSACTIONS","B2","19385862","19385862","19386737"
"0960-4286","EDINBURGH JOURNAL OF BOTANY","B2","9604286","9604286","14740036"
"1806-1079","EDITORIAL LARANJEIRAS (RIO DE JANEIRO)","B4","18061079",NA,NA
"2359-2087","EDUCA - REVISTA MULTIDISCIPLINAR EM EDUCAÇÃO","B1","23592087",NA,NA
"2237-6011","EDUCAÇÃO - REVISTA CIENTÍFICA DO CENTRO UNIVERSITÁRIO CLARETIANO","B4","22376011",NA,NA
"1415-9902","EDUCAÇÃO & LINGUAGEM","B1","14159902",NA,NA
"2176-1043","EDUCAÇÃO & LINGUAGEM (ONLINE)","B1","21761043",NA,NA
"1678-4626","EDUCAÇÃO & SOCIEDADE","A1","16784626",NA,NA
"1414-5057","EDUCAÇÃO & TECNOLOGIA","B2","14145057",NA,NA
"0101-465X","EDUCAÇÃO (PORTO ALEGRE)","A2","101465X",NA,NA
"0101-9031","EDUCAÇÃO (UFSM)","A2","1019031",NA,NA
"2447-5971","EDUCAÇÃO BÁSICA REVISTA","B4","24475971",NA,NA
"2238-1279","EDUCAÇÃO E CULTURA CONTEMPORÂNEA (ONLINE)","A3","22381279",NA,NA
"0102-6801","EDUCAÇÃO E FILOSOFIA (UFU. IMPRESSO)","A2","1026801",NA,NA
"1678-4634","EDUCAÇÃO E PESQUISA","A1","16784634",NA,NA
"2238-8346","EDUCAÇÃO E POLÍTICAS EM DEBATE","B3","22388346",NA,NA
"2175-6236","EDUCACAO E REALIDADE","A1","21756236","1003143","21756236"
"2448-0320","EDUCAÇÃO EM ANÁLISE","B3","24480320",NA,NA
"0102-1117","EDUCAÇÃO EM DEBATE (UFC)","B3","1021117",NA,NA
"1519-3322","EDUCAÇÃO EM FOCO (UEMG)","A4","15193322",NA,NA
"2317-0093","EDUCAÇÃO EM FOCO (UEMG) ONLINE","A4","23170093",NA,NA
"2447-5246","EDUCAÇÃO EM FOCO (UFJF) ONLINE","A4","24475246",NA,NA
"0104-3293","EDUCAÇÃO EM FOCO (UFJF) PRINT","A4","1043293",NA,NA
"2178-258X","EDUCACAO EM PERSPECTIVA (IMPRESSO)","A4","2178258X",NA,NA
"2527-0915","EDUCAÇÃO EM QUÍMICA EN PUNTO DE VISTA","B1","25270915",NA,NA
"1982-6621","EDUCAÇÃO EM REVISTA (UFMG - ONLINE)","A1","19826621",NA,NA
"1518-7926","EDUCAÇÃO EM REVISTA (UNESP. MARÍLIA)","B4","15187926",NA,NA
"2526-6136","EDUCAÇÃO MATEMÁTICA DEBATE","B2","25266136",NA,NA
"1517-3941","EDUCAÇÃO MATEMÁTICA EM REVISTA (SÃO PAULO)","A3","15173941",NA,NA
"1983-3156","EDUCAÇÃO MATEMÁTICA PESQUISA (ONLINE)","B1","19833156",NA,NA
"1809-3760","EDUCAÇÃO ON-LINE (PUCRJ)","B1","18093760",NA,NA
"2179-8435","EDUCAÇÃO POR ESCRITO PUCRS","B1","21798435",NA,NA
"2594-4827","EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA EM REVISTA","A4","25944827",NA,NA
"1676-2592","EDUCAÇÃO TEMÁTICA DIGITAL","A2","16762592",NA,NA
"1519-387X","EDUCAÇÃO UNISINOS","A2","1519387X",NA,NA
"2237-1648","EDUCAÇÃO, CULTURA E SOCIEDADE","B1","22371648",NA,NA
"1646-933X","EDUCACAO, FORMACAO & TECNOLOGIAS","A2","1646933X",NA,NA
"2179-9636","EDUCAÇÃO, GESTÃO E SOCIEDADE. REVISTA","A3","21799636",NA,NA
"0872-7643","EDUCAÇÃO, SOCIEDADE & CULTURAS","A3","8727643",NA,NA
"1981-8106","EDUCAÇÃO: TEORIA E PRÁTICA","A3","19818106",NA,NA
"1019-9403","EDUCACIÓN (LIMA. 1992)","A4","10199403",NA,NA
"1695-8403","EDUCACIÓN ARTÍSTICA. REVISTA DE INVESTIGACIÓN","A2","16958403",NA,NA
"1514-0105","EDUCACIÓN FÍSICA Y CIENCIA","B3","15140105",NA,NA
"0120-677X","EDUCACION FISICA Y DEPORTE","B4","120677X",NA,NA
"1665-5826","EDUCACIÓN MATEMÁTICA","A2","16655826",NA,NA
"1561-2902","EDUCACIÓN MÉDICA SUPERIOR","A1","15612902","8642141","15612902"
"1870-8404","EDUCACION QUIMICA","B4","18708404","187893X","18708404"
"0187-893X","EDUCACIÓN QUÍMICA","B4","187893X",NA,NA
"0124-2121","EDUCACIÓN Y HUMANISMO","A3","1242121",NA,NA
"2358-1468","EDUCAMAZÔNIA","B3","23581468",NA,NA
"1984-0411","EDUCAR EM REVISTA","A1","19840411",NA,NA
"1699-2105","EDUCATIO SIGLO XXI","A2","16992105",NA,NA
"0040-0912","EDUCATION + TRAINING (LONDON)","A1","400912","400912",NA
"0300-4279","EDUCATION 3-13: INTERNATIONAL JOURNAL OF PRIMARY, ELEMENTARY AND EARLY YEARS EDUCATION","B1","3004279","3004279","14757575"
"1360-2357","EDUCATION AND INFORMATION TECHNOLOGIES","A1","13602357","13602357",NA
"2377-1356","EDUCATION AND LINGUISTICS RESEARCH","A2","23771356",NA,NA
"1804-2473","EDUCATION AND SCIENCE WITHOUT BORDERS","B1","18042473",NA,NA
"0339-5456","EDUCATION COMPAREE","B2","3395456",NA,NA
"1749-7728","EDUCATION FOR CHEMICAL ENGINEERS","A3","17497728","17497728",NA
"0167-8329","EDUCATION FOR INFORMATION","A4","1678329","1678329","18758649"
"1473-9879","EDUCATION FOR PRIMARY CARE (PRINT)","B3","14739879","14739879","1475990X"
"2090-4010","EDUCATION RESEARCH INTERNATIONAL","B1","20904010","20904002","20904010"
"2227-7102","EDUCATION SCIENCES","A2","22277102",NA,"22277102"
"2038-9442","EDUCATION SCIENCES AND SOCIETY","B1","20389442",NA,NA
"0965-0792","EDUCATIONAL ACTION RESEARCH","B1","9650792","9650792","17475074"
"0360-1277","EDUCATIONAL GERONTOLOGY","B3","3601277","3601277","15210472"
"0013-175X","EDUCATIONAL HORIZONS","B4","13175X",NA,NA
"1469-5812","EDUCATIONAL PHILOSOPHY AND THEORY (ONLINE)","A1","14695812","131857","14695812"
"0013-1857","EDUCATIONAL PHILOSOPHY AND THEORY (PRINT)","A1","131857","131857","14695812"
"2141-5161","EDUCATIONAL RESEARCH","A3","21415161",NA,NA
"0013-1954","EDUCATIONAL STUDIES IN MATHEMATICS","A1","131954","131954","15730816"
"1415-0492","EDUCATIVA (UCG)","B1","14150492",NA,NA
"2280-6792","EDUCAZIONE LINGUISTICA. LANGUAGE EDUCATION","A4","22806792",NA,NA
"1316-4910","EDUCERE (MÉRIDA)","B1","13164910",NA,NA
"1519-0099","EDUCERE (UMUARAMA. IMPRESSO)","B4","15190099",NA,NA
"1981-4712","EDUCERE ET EDUCARE (VERSÃO ELETRÔNICA)","B2","19814712",NA,NA
"1982-1123","EDUCERE: REVISTA DA EDUCAÇÃO DA UNIPAR (ONLINE)","B4","19821123",NA,NA
"1579-0207","EDUPSYKHÉ","B1","15790207",NA,NA
"0188-1450","EFEMERIDES MEXICANA - ESTUDIOS FILOSÓFICOS, TEOLÓGICOS E HISTÓRICOS","B4","1881450",NA,NA
"2254-6103","EGA REVISTA DE EXPRESIÓN GRÁFICA ARQUITECTÓNICA","B1","22546103","11336137","22546103"
"1984-767X","E-HUM","B2","1984767X",NA,NA
"1540-5877","EHUMANISTA","A2","15405877",NA,NA
"2237-6984","EID&A   REVISTA ELETRÔNICA DE ESTUDOS INTEGRADOS EM DISCURSO E ARGUMENTAÇÃO","A4","22376984",NA,NA
"1885-5679","EIKASIA - REVISTA DE FILOSOFÍA","B1","18855679",NA,NA
"2183-6426","EIKON - JOURNAL ON SEMIOTICS AND CULTURE","B4","21836426",NA,NA
"1679-4508","EINSTEIN (SÃO PAULO)","B1","16794508","16794508","23176385"
"2053-8626","E-INTERNATIONAL RELATIONS","A4","20538626",NA,NA
"2359-1269","EIXOS TECH","B4","23591269",NA,NA
"1167-1122","EJD. EUROPEAN JOURNAL OF DERMATOLOGY","A4","11671122","11671122",NA
"1460-9568","EJN. EUROPEAN JOURNAL OF NEUROSCIENCE (ONLINE)","A3","14609568","953816X","14609568"
"2191-219X","EJNMMI RESEARCH","A3","2191219X",NA,"2191219X"
"1682-1130","E-JOURNAL - CIGR","B1","16821130","16821130",NA
"1645-6432","E-JOURNAL OF PORTUGUESE HISTORY","A2","16456432","16456432",NA
"2376-905X","E-JOURNALL (ONLINE)","A3","2376905X",NA,NA
"1507-2711","EKSPLOATACJA I NIEZAWODNO¿¿ - MAINTENANCE AND RELIABILITY","A3","15072711","15072711",NA
"2316-4786","EKSTASIS REVISTA DE HERMENÊUTICA E FENOMENOLOGIA","B2","23164786",NA,NA
"1667-7900","EL HILO DE LA FÁBULA","B2","16677900",NA,NA
"2469-2131","EL JARDÍN DE LOS POETAS","A4","24692131",NA,NA
"2250-7116","EL OÍDO PENSANTE","A4","22507116",NA,"22507116"
"1870-9036","EL PERIPLO SUSTENTABLE","B1","18709036",NA,NA
"1386-6710","EL PROFESIONAL DE LA INFORMACIÓN","A2","13866710","13866710","16992407"
"1699-2407","EL PROFESIONAL DE LA INFORMACIÓN","A2","16992407","13866710","16992407"
"2362-4191","EL TACO EN LA BREA","A3","23624191",NA,NA
"0769-4563","ELA- ETUDES LITTERAIRES AFRICAINES","B1","7694563",NA,NA
"1533-1296","ELECTION LAW JOURNAL","B2","15331296","15331296","15578062"
"1286-1146","ELECTRA (PARIS. 1967)","B1","12861146",NA,NA
"1532-5008","ELECTRIC POWER COMPONENTS AND SYSTEMS","A3","15325008","15325008","15325016"
"0378-7796","ELECTRIC POWER SYSTEMS RESEARCH (PRINT)","A2","3787796","3787796",NA
"0948-7921","ELECTRICAL ENGINEERING (BERLIN. PRINT)","A3","9487921","9487921","14320487"
"1521-4109","ELECTROANALYSIS","A3","15214109","10400397","15214109"
"1868-2529","ELECTROCATALYSIS (PRINT)","A4","18682529","18682529","18685994"
"1388-2481","ELECTROCHEMISTRY COMMUNICATIONS","A1","13882481","13882481",NA
"0013-4686","ELECTROCHIMICA ACTA","A1","134686","134686",NA
"1935-7524","ELECTRON J STAT","A2","19357524",NA,"19357524"
"1567-4223","ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS","A1","15674223","15674223",NA
"1083-589X","ELECTRONIC COMMUNICATIONS IN PROBABILITY","A4","1083589X","1083589X",NA
"1740-7494","ELECTRONIC GOVERNMENT","A2","17407494","17407494","17407508"
"2070-5948","ELECTRONIC JOURNAL OF APPLIED STATISTICAL ANALYSIS","B4","20705948","20705948",NA
"0717-3458","ELECTRONIC JOURNAL OF BIOTECHNOLOGY","A4","7173458",NA,"7173458"
"1072-6691","ELECTRONIC JOURNAL OF DIFFERENTIAL EQUATIONS","B1","10726691","10726691","15506150"
"1479-439X","ELECTRONIC JOURNAL OF E-GOVERNMENT","B1","1479439X",NA,NA
"1083-6489","ELECTRONIC JOURNAL OF PROBABILITY","A2","10836489","10836489",NA
"1417-3875","ELECTRONIC JOURNAL ON THE QUALITATIVE THEORY OF DIFFERENTIAL EQUATIONS","B1","14173875","14173875",NA
"1577-5097","ELECTRONIC LETTERS ON COMPUTER VISION AND IMAGE ANALYSIS","B4","15775097","15775097",NA
"0264-0473","ELECTRONIC LIBRARY","A3","2640473","2640473",NA
"1738-8090","ELECTRONIC MATERIALS LETTERS","A3","17388090","17388090","20936788"
"1571-0653","ELECTRONIC NOTES IN DISCRETE MATHEMATICS","B3","15710653","15710653",NA
"1571-0661","ELECTRONIC NOTES IN THEORETICAL COMPUTER SCIENCE","B1","15710661","15710661",NA
"2075-2180","ELECTRONIC PROCEEDINGS IN THEORETICAL COMPUTER SCIENCE","B2","20752180","20752180",NA
"1935-9179","ELECTRONIC RESEARCH ANNOUNCEMENTS IN MATHEMATICAL SCIENCES (ONLINE)","B1","19359179","19359179",NA
"2079-9292","ELECTRONICS","A2","20799292",NA,"20799292"
"0013-5194","ELECTRONICS LETTERS","A3","135194","135194","1350911X"
"0173-0835","ELECTROPHORESIS (WEINHEIM. PRINT)","A3","1730835","1730835","15222683"
"2175-0688","E-LEGIS","A3","21750688",NA,NA
"1300-0632","ELEKTRIK","B1","13000632","13000632","13036203"
"2325-1026","ELEMENTA: SCIENCE OF THE ANTHROPOCENE","A1","23251026",NA,"23251026"
"2527-1393","ELEUTHERÍA","B1","25271393",NA,NA
"2050-084X","ELIFE","A1","2050084X","2050084X",NA
"2316-4360","ÉLISÉE - REVISTA DE GEOGRAFIA DA UEG","B1","23164360",NA,NA
"2386-7620","ELOS. REVISTA DE LITERATURA INFANTIL E XUVENIL","B3","23867620",NA,NA
"0951-0893","ELT JOURNAL","A2","9510893","9510893","14774526"
"2182-8954","ELYRA: REVISTA DA REDE INTERNACIONAL LYRACOMPOETICS","A4","21828954",NA,NA
"0104-1037","EM ABERTO","A4","1041037",NA,NA
"2526-5792","EM CONSTRUÇÃO","B2","25265792",NA,NA
"2359-5841","EM CURSO","B4","23595841",NA,NA
"2176-4883","EM DEBATE (BELO HORIZONTE)","B3","21764883",NA,NA
"2238-3786","EM PAUTA: REVISTA DE FORMAÇÃO PARA PROFISSIONAIS DA EDUCAÇÃO","A2","22383786",NA,NA
"2448-0789","EM PERSPECTIVA","B3","24480789",NA,NA
"1807-8893","EM QUESTÃO (UFRGS. IMPRESSO)","A3","18078893",NA,NA
"2595-7716","EM SOCIEDADE","B4","25957716",NA,NA
"2177-9309","EM TEIA - REVISTA DE EDUCAÇÃO MATEMÁTICA E TECNOLÓGICA IBEROAMERICANA","B1","21779309",NA,NA
"1516-8964","EM TEMPO (MARÍLIA. IMPRESSO)","B1","15168964",NA,NA
"1517-1108","EM TEMPO DE HISTÓRIAS","A4","15171108",NA,NA
"1982-0739","EM TESE (BELO HORIZONTE. ONLINE)","A4","19820739",NA,NA
"1806-5023","EM TESE (FLORIANÓPOLIS)","B3","18065023",NA,NA
"1982-7814","EMANCIPAÇÃO (ONLINE) (PONTA GROSSA)","A4","19827814",NA,NA
"2238-4251","EMBLEMAS (ONLINE)","B4","22384251",NA,NA
"1808-7914","EMBLEMAS (UFG. CATALÃO)","B4","18087914",NA,NA
"0261-4189","EMBO JOURNAL (PRINT)","A1","2614189","2614189","14602075"
"1757-4676","EMBO MOLECULAR MEDICINE","A1","17574676","17574676","17574684"
"1469-221X","EMBO REPORTS (PRINT)","A1","1469221X","1469221X","14693178"
"2050-2060","EMERALD: STUDIES IN MEDIA AND COMMUNICATION","B2","20502060",NA,NA
"1472-0205","EMERGENCY MEDICINE JOURNAL (PRINT)","A2","14720205","14720205","14720213"
"1070-3004","EMERGENCY RADIOLOGY (PRINT)","A3","10703004","10703004","14381435"
"1080-6059","EMERGING INFECTIOUS DISEASES (ONLINE)","A1","10806059","10806040","10806059"
"1080-6040","EMERGING INFECTIOUS DISEASES (PRINT)","A1","10806040","10806040","10806059"
"2045-0621","EMERGING MARKETS CASE STUDIES COLLECTION","B3","20450621",NA,"20450621"
"1540-496X","EMERGING MARKETS FINANCE & TRADE","A2","1540496X","1540496X",NA
"2158-8708","EMERGING MARKETS JOURNAL (ONLINE)","B3","21588708",NA,NA
"1566-0141","EMERGING MARKETS REVIEW","A2","15660141","15660141","18736173"
"2222-1751","EMERGING MICROBES & INFECTIONS (ONLINE)","A1","22221751","22221751",NA
"1742-7622","EMERGING THEMES IN EPIDEMIOLOGY","B1","17427622","17427622",NA
"2177-2312","E-METROPOLIS: REVISTA ELETRÔNICA DE ESTUDOS URBANOS E REGIONAIS","B2","21772312",NA,NA
"2079-052X","EMIRATES JOURNAL OF FOOD AND AGRICULTURE","B1","2079052X","2079052X","20790538"
"2079-0538","EMIRATES JOURNAL OF FOOD AND AGRICULTURE (ONLINE)","B1","20790538","2079052X","20790538"
"0000-1234","E-MOSAICOS","B3","1234",NA,NA
"2316-9303","E-MOSAICOS REVISTA MULTIDISCIPLINAR DE ENSINO, PESQUISA, EXTENSÃO E CULTURA DO INSTITUTO DE APLICAÇÃO FERNANDO RODRIGUES DA SILVEIRA (CAP-UERJ)","A3","23169303",NA,NA
"1152-3336","EMPAN (TOULOUSE)","B4","11523336","11523336",NA
"0377-7332","EMPIRICAL ECONOMICS","A1","3777332","3777332","14358921"
"1382-3256","EMPIRICAL SOFTWARE ENGINEERING","A1","13823256","13823256","15737616"
"0142-5455","EMPLOYEE RELATIONS","A2","1425455","1425455",NA
"2238-0515","EMPREENDEDORISMO, GESTÃO E NEGÓCIOS REVISTA DO CURSO DE ADMINISTRAÇÃO","B3","22380515",NA,NA
"2530-5603","EMPRENDIMIENTO Y NEGOCIOS INTERNACIONALES","B3","25305603",NA,NA
"0158-4197","EMU (MELBOURNE. PRINT)","A3","1584197","1584197","14485540"
"2237-8448","ENCONTRO BRASILEIRO DE ESTUDANTES DE PÓS-GRADUAÇÃO EM EDUCAÇÃO MATEMÁTICA","A3","22378448",NA,NA
"1518-2924","ENCONTROS BIBLI (ONLINE)","A2","15182924",NA,NA
"1346-5058","ENCONTROS LUSÓFONOS","B4","13465058",NA,NA
"2525-846X","ENCONTROS TEOLÓGICOS","A4","2525846X",NA,NA
"2414-6625","ENCUENTRO LATINOAMERICANO ELA","B3","24146625",NA,NA
"1613-4796","ENDANGERED SPECIES RESEARCH","A2","16134796","18635407","16134796"
"1355-008X","ENDOCRINE (BASINGSTOKE)","A3","1355008X",NA,NA
"2049-3614","ENDOCRINE CONNECTIONS","A3","20493614",NA,"20493614"
"0918-8959","ENDOCRINE JOURNAL (TOKYO)","B1","9188959","9188959","13484540"
"1046-3976","ENDOCRINE PATHOLOGY","A3","10463976","10463976","15590097"
"1530-891X","ENDOCRINE PRACTICE","A3","1530891X","1530891X","19342403"
"1210-0668","ENDOCRINE REGULATIONS (PRINT)","B2","12100668","12100668","13360329"
"0743-5800","ENDOCRINE RESEARCH","B3","7435800","7435800","15324206"
"0163-769X","ENDOCRINE REVIEWS","A1","163769X",NA,NA
"1871-5303","ENDOCRINE, METABOLIC AND IMMUNE DISORDERS. DRUG TARGETS","A4","18715303","18715303",NA
"1351-0088","ENDOCRINE-RELATED CANCER","A1","13510088","13510088",NA
"0013-7227","ENDOCRINOLOGY (PHILADELPHIA)","A2","137227","137227","19457170"
"0889-8529","ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA (PRINT)","A3","8898529","8898529",NA
"2052-0573","ENDOCRINOLOGY, DIABETES & METABOLISM CASE REPORTS","B1","20520573",NA,"20520573"
"2226-7190","ENDOSCOPIC ULTRASOUND","A2","22267190","23039027","22267190"
"0013-726X","ENDOSCOPY (STUTTGART)","A1","13726X",NA,NA
"2196-9736","ENDOSCOPY INTERNATIONAL OPEN","B4","21969736",NA,NA
"1808-8759","ENERGIA NA AGRICULTURA","B4","18088759",NA,NA
"2359-6562","ENERGIA NA AGRICULTURA","B4","23596562",NA,NA
"1996-1073","ENERGIES (BASEL)","A1","19961073","19961073",NA
"0958-305X","ENERGY & ENVIRONMENT (BRENTWOOD)","B1","958305X",NA,NA
"0887-0624","ENERGY & FUELS (PRINT)","A1","8870624","8870624","15205029"
"0360-5442","ENERGY (OXFORD)","A1","3605442","3605442","18736785"
"0378-7788","ENERGY AND BUILDINGS","A1","3787788","3787788",NA
"2331-6330","ENERGY AND ENVIRONMENTAL ENGINEERING","B4","23316330",NA,NA
"0196-8904","ENERGY CONVERSION AND MANAGEMENT","A1","1968904","1968904",NA
"0140-9883","ENERGY ECONOMICS","A1","1409883","1409883","18736181"
"1570-6478","ENERGY EFFICIENCY (ONLINE)","A2","15706478","1570646X","15706478"
"1570-646X","ENERGY EFFICIENCY (PRINT)","A2","1570646X","1570646X","15706478"
"0144-5987","ENERGY EXPLORATION & EXPLOITATION","A3","1445987","1445987",NA
"0301-4215","ENERGY POLICY","A1","3014215","3014215",NA
"1876-6102","ENERGY PROCEDIA","A3","18766102","18766102",NA
"2214-6296","ENERGY RESEARCH & SOCIAL SCIENCE","A1","22146296",NA,"22146296"
"1556-7230","ENERGY SOURCES, PART A: RECOVERY, UTILIZATION, AND ENVIRONMENTAL EFFECTS","B2","15567230","15567036","15567230"
"1556-7036","ENERGY SOURCES. PART A, RECOVERY, UTILIZATION, AND ENVIRONMENTAL EFFECTS","B2","15567036","15567036","15567230"
"1556-7249","ENERGY SOURCES. PART B, ECONOMICS, PLANNING, AND POLICY","A4","15567249","15567249",NA
"2211-467X","ENERGY STRATEGY REVIEWS","A3","2211467X","2211467X",NA
"0973-0826","ENERGY SUSTAINABLE DEVELOPMENT","A1","9730826","9730826",NA
"1868-3975","ENERGY SYSTEMS","A3","18683975","18683967","18683975"
"2194-4296","ENERGY TECHNOLOGY","A2","21944296","21944288","21944296"
"2192-0567","ENERGY, SUSTAINABILITY AND SOCIETY","A2","21920567",NA,"21920567"
"2602-8042","ENERLAC","B4","26028042",NA,NA
"2631-2522","ENERLAC (ONLINE)","B4","26312522",NA,NA
"2373-2822","ENEURO (ONLINE)","A4","23732822",NA,"23732822"
"2405-6502","ENEUROLOGICALSCI","B3","24056502",NA,"24056502"
"1519-339X","ENFERMAGEM ATUAL","B4","1519339X",NA,NA
"2447-2034","ENFERMAGEM ATUAL","B4","24472034",NA,NA
"1678-2410","ENFERMAGEM BRASIL","B4","16782410",NA,NA
"2177-4285","ENFERMAGEM EM FOCO","B1","21774285",NA,NA
"0104-4419","ENFERMAGEM REVISTA","B4","1044419",NA,NA
"2238-7218","ENFERMAGEM REVISTA (ONLINE)","B4","22387218",NA,NA
"0213-005X","ENFERMEDADES INFECCIOSAS Y MICROBIOLOGÍA CLÍNICA (ED. IMPRESA)","B3","213005X",NA,NA
"1688-8375","ENFERMERÍA","B1","16888375",NA,NA
"1409-4568","ENFERMERÍA ACTUAL DE COSTA RICA","B2","14094568",NA,NA
"1699-0641","ENFERMERÍA COMUNITARIA (INTERNET)","B4","16990641",NA,NA
"1695-6141","ENFERMERÍA GLOBAL","B3","16956141","16956141",NA
"2395-8421","ENFERMERÍA UNIVERSITARIA (ONLINE)","B1","23958421",NA,NA
"1517-9087","ENFOQUE: REFLEXÃO CONTÁBIL (IMPRESSO)","A3","15179087",NA,NA
"0100-6916","ENGENHARIA AGRÍCOLA (IMPRESSO)","B2","1006916","1006916",NA
"1415-3025","ENGENHARIA ESTUDO E PESQUISA","B4","14153025",NA,NA
"2316-591X","ENGENHARIA ESTUDO E PESQUISA","B4","2316591X",NA,NA
"2175-6813","ENGENHARIA NA AGRICULTURA (ONLINE)","B4","21756813",NA,NA
"1413-4152","ENGENHARIA SANITÁRIA E AMBIENTAL","A3","14134152","14134152",NA
"1676-1790","ENGENHARIA TÉRMICA","B4","16761790",NA,NA
"0955-7997","ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS","A1","9557997","9557997",NA
"0952-1976","ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE","A1","9521976","9521976",NA
"1994-2060","ENGINEERING APPLICATIONS OF COMPUTATIONAL FLUID MECHANICS","A2","19942060","19942060","1997003X"
