"ISSN","TITULO","ESTRATO","ISSN_temp","Print_ISSN","E_ISSN"
"0100-4298","AGROANALYSIS (FGV)","B4","1004298",NA,NA
"0002-1857","AGROCHIMICA (PISA)","B1","21857","21857",NA
"1405-3195","AGROCIENCIA (MONTECILLO)","B2","14053195","14053195","25219766"
"1510-0839","AGROCIENCIA (MONTEVIDEO)","B4","15100839",NA,NA
"1989-4686","AGROECOLOGÍA","B2","19894686",NA,NA
"2168-3565","AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS (PRINT)","A3","21683565","21683565","21683573"
"2168-3573","AGROECOLOGY AND SUSTENTAINABLE FOOD SYSTEMS","A3","21683573","21683565","21683573"
"1572-9680","AGROFORESTRY SYSTEMS","A3","15729680","1674366","15729680"
"0120-9965","AGRONOMIA COLOMBIANA","B3","1209965","1209965",NA
"2357-3732","AGRONOMÍA COLOMBIANA","B3","23573732",NA,NA
"2073-4395","AGRONOMY","A2","20734395",NA,"20734395"
"1774-0746","AGRONOMY FOR SUSTAINABLE DEVELOPMENT","A1","17740746","17740746","17730155"
"0002-1962","AGRONOMY JOURNAL (PRINT)","A2","21962","21962","14350645"
"1406-894X","AGRONOMY RESEARCH","A4","1406894X","1406894X",NA
"2525-877X","AGROPAMPA: REVISTA DE GESTÃO DO AGRONEGÓCIO","B4","2525877X",NA,NA
"1678-7471","ÁGUA VIVA (UNB)","B4","16787471",NA,NA
"2340-7743","AGUA Y TERRITORIO","A3","23407743",NA,NA
"2340-8472","AGUA Y TERRITORIO","A3","23408472",NA,NA
"2179-9784","ÁGUAS SUBTERRÂNEAS","B2","21799784",NA,NA
"0951-5666","AI & SOCIETY","A2","9515666","9515666","14355655"
"0921-7126","AI COMMUNICATIONS","B3","9217126","9217126",NA
"0001-1452","AIAA JOURNAL (PRINT)","A1","11452","11452","1533385X"
"0001-1541","AICHE JOURNAL","A1","11541","11541","15475905"
"1121-0095","AIDAINFORMAZIONI: REVISTA DI SCIENZE DELL¿INFORMAZIONE","B4","11210095",NA,NA
"0269-9370","AIDS (LONDON)","A1","2699370","2699370","14735571"
"1573-3254","AIDS AND BEHAVIOR (DORDRECHT. ONLINE)","A1","15733254","10907165","15733254"
"0954-0121","AIDS CARE (PRINT)","A2","9540121","9540121","13600451"
"1087-2914","AIDS PATIENT CARE AND STDS","A1","10872914","10872914","15577449"
"0889-2229","AIDS RESEARCH AND HUMAN RETROVIRUSES","A4","8892229","8892229","19318405"
"1461-0213","AILA REVIEW","A2","14610213","14610213",NA
"2471-2086","AIMS AGRICULTURE AND FOOD","B1","24712086",NA,"24712086"
"2375-1495","AIMS BIOENGINEERING (ONLINE)","B3","23751495",NA,NA
"2333-8334","AIMS ENERGY","B2","23338334","23338326","23338334"
"2372-0352","AIMS ENVIRONMENTAL SCIENCE","B4","23720352",NA,"23720352"
"2372-0484","AIMS MATERIALS SCIENCE","B3","23720484","23720484","23720468"
"2373-7972","AIMS NEUROSCIENCE","B3","23737972",NA,"23737972"
"2158-3226","AIP ADVANCES","A4","21583226","21583226",NA
"0094-243X","AIP CONFERENCE PROCEEDINGS","B4","94243X",NA,NA
"1555-385X","AIR & SPACE POWER JOURNAL (PRINT)","B2","1555385X",NA,NA
"1873-9326","AIR QUALITY, ATMOSPHERE & HEALTH (ONLINE)","A2","18739326","18739318","18739326"
"1873-9318","AIR QUALITY, ATMOSPHERE AND HEALTH","A2","18739318","18739318","18739326"
"1178-6221","AIR, SOIL AND WATER RESEARCH","B1","11786221","11786221",NA
"2009-3160","AISHE-J","A3","20093160",NA,NA
